OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection
PPUv8.xml;PPUv6.xml;BDD_FMREDUCED;12;72.0;0;12;0.0;0.90495867
PPUv8.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;20;78.0;12;8;0.6;0.919708
PPUv8.xml;PPUv7.xml;ACTS;12;271.0;1;11;0.083333336;0.919708
PPUv8.xml;PPUv7.xml;MUTTESTGENERATOR;6;59.0;2;4;0.33333334;0.9194139
PPUv8.xml;PPUv7.xml;BDD_FMREDUCED;16;52.0;1;15;0.0625;0.9194139
AutomotiveMultimediav1.xml;AutomotiveMultimediav2.xml;SPECIFICITY_FMREDUCED;8;11.0;0;8;0.0;0.6956522
AutomotiveMultimediav1.xml;AutomotiveMultimediav2.xml;ACTS;8;39.0;0;8;0.0;0.6956522
AutomotiveMultimediav1.xml;AutomotiveMultimediav2.xml;MUTTESTGENERATOR;7;8.0;0;7;0.0;0.6956522
AutomotiveMultimediav1.xml;AutomotiveMultimediav2.xml;BDD_FMREDUCED;8;12.0;0;8;0.0;0.6956522
Boeingv1.xml;Boeingv2.xml;SPECIFICITY_FMREDUCED;2;2.0;2;0;1.0;0.4848485
Boeingv1.xml;Boeingv2.xml;ACTS;2;9.0;2;0;1.0;0.4848485
Boeingv1.xml;Boeingv2.xml;MUTTESTGENERATOR;2;4.0;2;0;1.0;0.4848485
Boeingv1.xml;Boeingv2.xml;BDD_FMREDUCED;2;3.0;2;0;1.0;0.4848485
CarBodyv1.xml;CarBodyv2.xml;SPECIFICITY_FMREDUCED;6;6.0;0;6;0.0;0.82222223
CarBodyv1.xml;CarBodyv2.xml;ACTS;6;20.0;0;6;0.0;0.82222223
CarBodyv1.xml;CarBodyv2.xml;MUTTESTGENERATOR;3;5.0;0;3;0.0;0.82222223
CarBodyv1.xml;CarBodyv2.xml;BDD_FMREDUCED;6;3.0;0;6;0.0;0.82222223
CarBodyv1.xml;CarBodyv3.xml;SPECIFICITY_FMREDUCED;7;4.0;0;7;0.0;0.6315789
CarBodyv1.xml;CarBodyv3.xml;ACTS;7;22.0;0;7;0.0;0.6315789
CarBodyv1.xml;CarBodyv3.xml;MUTTESTGENERATOR;5;5.0;0;5;0.0;0.6315789
CarBodyv1.xml;CarBodyv3.xml;BDD_FMREDUCED;7;7.0;0;7;0.0;0.6315789
CarBodyv2.xml;CarBodyv3.xml;SPECIFICITY_FMREDUCED;6;8.0;2;4;0.33333334;0.61403507
CarBodyv2.xml;CarBodyv3.xml;ACTS;7;29.0;2;5;0.2857143;0.6315789
CarBodyv2.xml;CarBodyv3.xml;MUTTESTGENERATOR;5;6.0;2;3;0.4;0.6315789
CarBodyv2.xml;CarBodyv3.xml;BDD_FMREDUCED;7;6.0;2;5;0.2857143;0.6315789
CarBodyv3.xml;CarBodyv2.xml;SPECIFICITY_FMREDUCED;6;3.0;3;3;0.5;0.82222223
CarBodyv3.xml;CarBodyv2.xml;ACTS;6;19.0;3;3;0.5;0.82222223
CarBodyv3.xml;CarBodyv2.xml;MUTTESTGENERATOR;3;7.0;1;2;0.33333334;0.82222223
CarBodyv3.xml;CarBodyv2.xml;BDD_FMREDUCED;6;6.0;3;3;0.5;0.82222223
LinuxKernelv1.xml;LinuxKernelv2.xml;SPECIFICITY_FMREDUCED;8;3.0;3;5;0.375;0.71929824
LinuxKernelv1.xml;LinuxKernelv2.xml;ACTS;7;29.0;1;6;0.14285715;0.71929824
LinuxKernelv1.xml;LinuxKernelv2.xml;MUTTESTGENERATOR;16;6.0;8;8;0.5;0.71929824
LinuxKernelv1.xml;LinuxKernelv2.xml;BDD_FMREDUCED;8;4.0;1;7;0.125;0.71929824
ParkingAssistantv1.xml;ParkingAssistantv2.xml;SPECIFICITY_FMREDUCED;2;3.0;1;1;0.5;0.44186047
ParkingAssistantv1.xml;ParkingAssistantv2.xml;ACTS;2;14.0;1;1;0.5;0.44186047
ParkingAssistantv1.xml;ParkingAssistantv2.xml;MUTTESTGENERATOR;2;3.0;1;1;0.5;0.44186047
ParkingAssistantv1.xml;ParkingAssistantv2.xml;BDD_FMREDUCED;2;6.0;1;1;0.5;0.44186047
ParkingAssistantv1.xml;ParkingAssistantv3.xml;SPECIFICITY_FMREDUCED;7;16.0;5;2;0.71428573;0.8545455
ParkingAssistantv1.xml;ParkingAssistantv3.xml;ACTS;7;83.0;5;2;0.71428573;0.8545455
ParkingAssistantv1.xml;ParkingAssistantv3.xml;MUTTESTGENERATOR;5;15.0;3;2;0.6;0.8545455
ParkingAssistantv1.xml;ParkingAssistantv3.xml;BDD_FMREDUCED;7;11.0;5;2;0.71428573;0.8545455
ParkingAssistantv1.xml;ParkingAssistantv4.xml;SPECIFICITY_FMREDUCED;7;37.0;7;0;1.0;0.87700534
ParkingAssistantv1.xml;ParkingAssistantv4.xml;ACTS;7;122.0;7;0;1.0;0.8763441
ParkingAssistantv1.xml;ParkingAssistantv4.xml;MUTTESTGENERATOR;3;33.0;3;0;1.0;0.87700534
ParkingAssistantv1.xml;ParkingAssistantv4.xml;BDD_FMREDUCED;7;25.0;7;0;1.0;0.8763441
ParkingAssistantv2.xml;ParkingAssistantv3.xml;SPECIFICITY_FMREDUCED;8;14.0;6;2;0.75;0.8558559
ParkingAssistantv2.xml;ParkingAssistantv3.xml;ACTS;7;56.0;4;3;0.5714286;0.8545455
ParkingAssistantv2.xml;ParkingAssistantv3.xml;MUTTESTGENERATOR;5;14.0;2;3;0.4;0.8558559
ParkingAssistantv2.xml;ParkingAssistantv3.xml;BDD_FMREDUCED;7;13.0;4;3;0.5714286;0.8545455
ParkingAssistantv2.xml;ParkingAssistantv4.xml;SPECIFICITY_FMREDUCED;7;38.0;7;0;1.0;0.8763441
ParkingAssistantv2.xml;ParkingAssistantv4.xml;ACTS;7;116.0;7;0;1.0;0.8763441
ParkingAssistantv2.xml;ParkingAssistantv4.xml;MUTTESTGENERATOR;3;28.0;3;0;1.0;0.8763441
ParkingAssistantv2.xml;ParkingAssistantv4.xml;BDD_FMREDUCED;7;25.0;7;0;1.0;0.8763441
ParkingAssistantv3.xml;ParkingAssistantv2.xml;SPECIFICITY_FMREDUCED;2;6.0;2;0;1.0;0.44186047
ParkingAssistantv3.xml;ParkingAssistantv2.xml;ACTS;2;20.0;2;0;1.0;0.44186047
ParkingAssistantv3.xml;ParkingAssistantv2.xml;MUTTESTGENERATOR;2;3.0;2;0;1.0;0.44186047
ParkingAssistantv3.xml;ParkingAssistantv2.xml;BDD_FMREDUCED;2;4.0;2;0;1.0;0.44186047
ParkingAssistantv3.xml;ParkingAssistantv4.xml;SPECIFICITY_FMREDUCED;7;32.0;7;0;1.0;0.8763441
ParkingAssistantv3.xml;ParkingAssistantv4.xml;ACTS;7;119.0;7;0;1.0;0.8763441
ParkingAssistantv3.xml;ParkingAssistantv4.xml;MUTTESTGENERATOR;3;35.0;3;0;1.0;0.87700534
ParkingAssistantv3.xml;ParkingAssistantv4.xml;BDD_FMREDUCED;7;25.0;7;0;1.0;0.87700534
ParkingAssistantv4.xml;ParkingAssistantv2.xml;SPECIFICITY_FMREDUCED;2;5.0;2;0;1.0;0.44186047
ParkingAssistantv4.xml;ParkingAssistantv2.xml;ACTS;2;11.0;2;0;1.0;0.44186047
ParkingAssistantv4.xml;ParkingAssistantv2.xml;MUTTESTGENERATOR;2;5.0;2;0;1.0;0.44186047
ParkingAssistantv4.xml;ParkingAssistantv2.xml;BDD_FMREDUCED;2;8.0;2;0;1.0;0.44186047
ParkingAssistantv4.xml;ParkingAssistantv3.xml;SPECIFICITY_FMREDUCED;7;18.0;7;0;1.0;0.8545455
ParkingAssistantv4.xml;ParkingAssistantv3.xml;ACTS;7;67.0;7;0;1.0;0.8545455
