OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv4.xml;PPUv3.xml;BDD_FMREDUCED;7;15.0;4;3;0.5714286;0.7;1.0
PPUv4.xml;PPUv3.xml;INCLING;7;10.0;4;3;0.5714286;0.7;1.0
PPUv4.xml;PPUv3.xml;GFE;7;3.0;4;3;0.5714286;0.7;1.0
PPUv4.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;12;43.0;0;12;0.0;0.9070632;1.0
PPUv4.xml;PPUv5.xml;ACTS;12;220.0;0;12;0.0;0.9067164;1.0
PPUv4.xml;PPUv5.xml;MUTTESTGENERATOR;5;40.0;0;5;0.0;0.9070632;0.43014705
PPUv4.xml;PPUv5.xml;BDD_FMREDUCED;11;72.0;0;11;0.0;0.9067164;1.0
PPUv4.xml;PPUv5.xml;INCLING;13;15.0;0;13;0.0;0.9067164;1.0
PPUv4.xml;PPUv5.xml;GFE;12;10.0;0;12;0.0;0.9067164;1.0
PPUv4.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;11;37.0;0;11;0.0;0.9053498;1.0
PPUv4.xml;PPUv6.xml;ACTS;12;174.0;0;12;0.0;0.9053498;1.0
PPUv4.xml;PPUv6.xml;MUTTESTGENERATOR;4;46.0;0;4;0.0;0.90495867;0.42916667
PPUv4.xml;PPUv6.xml;BDD_FMREDUCED;11;57.0;0;11;0.0;0.90495867;1.0
PPUv4.xml;PPUv6.xml;INCLING;13;11.0;0;13;0.0;0.90495867;1.0
PPUv4.xml;PPUv6.xml;GFE;12;9.0;0;12;0.0;0.90495867;1.0
PPUv4.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;14;45.0;9;5;0.64285713;0.9194139;1.0
PPUv4.xml;PPUv7.xml;ACTS;12;210.0;5;7;0.41666666;0.9194139;1.0
PPUv4.xml;PPUv7.xml;MUTTESTGENERATOR;6;54.0;4;2;0.6666667;0.919708;0.44852942
PPUv4.xml;PPUv7.xml;BDD_FMREDUCED;14;67.0;9;5;0.64285713;0.9194139;1.0
PPUv4.xml;PPUv7.xml;INCLING;13;15.0;8;5;0.61538464;0.9194139;1.0
PPUv4.xml;PPUv7.xml;GFE;13;11.0;4;9;0.30769232;0.9194139;1.0
PPUv4.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;14;44.0;10;4;0.71428573;0.9130435;1.0
PPUv4.xml;PPUv8.xml;ACTS;12;181.0;7;5;0.5833333;0.9133574;1.0
PPUv4.xml;PPUv8.xml;MUTTESTGENERATOR;4;45.0;4;0;1.0;0.9130435;0.41911766
PPUv4.xml;PPUv8.xml;BDD_FMREDUCED;13;74.0;9;4;0.6923077;0.9133574;1.0
PPUv4.xml;PPUv8.xml;INCLING;12;17.0;7;5;0.5833333;0.9130435;1.0
PPUv4.xml;PPUv8.xml;GFE;12;13.0;4;8;0.33333334;0.9130435;1.0
PPUv5.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;10.0;6;0;1.0;0.7181818;1.0
PPUv5.xml;PPUv2.xml;ACTS;6;74.0;6;0;1.0;0.7181818;1.0
PPUv5.xml;PPUv2.xml;MUTTESTGENERATOR;4;19.0;4;0;1.0;0.7181818;0.51363635
PPUv5.xml;PPUv2.xml;BDD_FMREDUCED;6;34.0;6;0;1.0;0.7181818;1.0
PPUv5.xml;PPUv2.xml;INCLING;6;8.0;6;0;1.0;0.7181818;1.0
PPUv5.xml;PPUv2.xml;GFE;6;4.0;6;0;1.0;0.7181818;1.0
PPUv5.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;12.0;7;0;1.0;0.7;1.0
PPUv5.xml;PPUv3.xml;ACTS;7;54.0;7;0;1.0;0.7;1.0
PPUv5.xml;PPUv3.xml;MUTTESTGENERATOR;7;9.0;7;0;1.0;0.7;0.5181818
PPUv5.xml;PPUv3.xml;BDD_FMREDUCED;7;19.0;7;0;1.0;0.7;1.0
PPUv5.xml;PPUv3.xml;INCLING;7;8.0;7;0;1.0;0.7;1.0
